country_code,country,year,internet_pct,gdp_per_capita,gdp_growth_pct
DE,Germany,2010,82.0,38526.7371042695,4.13463778522758
DE,Germany,2011,81.26999953602,40722.4849268242,3.75796884489337
DE,Germany,2012,82.3499984738392,40834.5088218456,0.463512036709204
DE,Germany,2013,84.17,40884.8926759028,0.396995583779145
DE,Germany,2014,86.1937006578756,41602.4661281668,2.18018602168017
DE,Germany,2015,87.5897993525767,41929.7549110722,1.66300602334775
DE,Germany,2016,84.1652066441212,42516.9337063103,2.22222216259371
DE,Germany,2017,84.3941537010844,43543.4807050551,2.797906720551
DE,Germany,2018,87.037112092841,43905.8550061973,1.13569604599849
DE,Germany,2019,88.1345169091916,44235.2658954682,0.977734697038784
DE,Germany,2020,89.81294133,42372.8726784255,-4.13191443239947
DE,Germany,2021,91.43060973,44011.0194631674,3.90999994204108
DE,Germany,2022,91.62984383,44817.1316331389,1.8092581243061
KR,South Korea,2010,83.7,26623.0487122927,6.98166138853071
KR,South Korea,2011,83.7591201534472,27393.455357272,3.6880320602952
KR,South Korea,2012,84.07,27944.0564190045,2.54766550568242
KR,South Korea,2013,84.77,28732.711152033,3.2913959543442
KR,South Korea,2014,87.5568264944747,29470.6732991655,3.21468019683108
KR,South Korea,2015,89.8962557995106,30171.7906545222,2.92029267301234
KR,South Korea,2016,92.8430256796075,31005.4072876388,3.17152748983935
KR,South Korea,2017,95.0694218761004,31979.9027302467,3.433191763972
KR,South Korea,2018,96.0228595797887,32852.8887488942,3.17611568177327
KR,South Korea,2019,96.157579184239,33496.3113815643,2.31380210595475
KR,South Korea,2020,96.50506052,33215.9298928108,-0.700242317542106
KR,South Korea,2021,97.57132698,34792.9397214598,4.61296795454287
KR,South Korea,2022,97.16855335,35809.0138105144,2.72756456708991
SA,Saudi Arabia,2010,41.0,21830.1424272816,5.0395150823517
SA,Saudi Arabia,2011,47.5,23314.5576023168,11.758820686671
SA,Saudi Arabia,2012,54.0,23643.0358324647,5.76157382270968
SA,Saudi Arabia,2013,60.5,23057.3494468535,2.94563789152025
SA,Saudi Arabia,2014,64.713657369019,23404.7306039825,4.02467158380668
SA,Saudi Arabia,2015,69.6162358014004,23256.1549553531,4.65512316652699
SA,Saudi Arabia,2016,74.8792746891625,22783.0328538685,1.70404739202878
SA,Saudi Arabia,2017,94.1755996113911,23035.1199977707,1.18210705878283
SA,Saudi Arabia,2018,93.3100018480347,24393.5188306638,3.2269508901591
SA,Saudi Arabia,2019,95.7247355953812,24905.6697428558,1.65158925617395
SA,Saudi Arabia,2020,97.8623325,22827.671935548,-3.80478901996312
SA,Saudi Arabia,2021,100.0,24922.6716948944,6.51959698325419
SA,Saudi Arabia,2022,100.0,26706.917926066,12.0005874752929
SG,Singapore,2010,71.0,48752.0515441859,14.5197497108994
SG,Singapore,2011,71.0,50713.5326393594,6.21493416858989
SG,Singapore,2012,72.0,51679.352717333,4.43549759378537
SG,Singapore,2013,80.90209961,53298.9728558286,4.81763099120676
SG,Singapore,2014,79.0292358633435,54681.9336458253,3.93554027709007
SG,Singapore,2015,79.0129570025584,55645.6068614606,2.97679931634806
SG,Singapore,2016,84.4522678893074,56986.7853102911,3.74757848792792
SG,Singapore,2017,84.4522678893074,59485.3015873921,4.47689915845876
SG,Singapore,2018,88.1656360313447,61250.3476672302,3.4519759658687
SG,Singapore,2019,88.9492526850762,61345.5291820062,1.30804118153127
SG,Singapore,2020,92.00434653,59189.70385743,-3.81470885510713
SG,Singapore,2021,96.92468156,67731.2610711717,9.7568044629903
SG,Singapore,2022,95.95386476,68218.805333562,4.10800021897151
AE,UAE,2010,68.0,42328.8508165469,1.60285004671343
AE,UAE,2011,78.0,43687.7782783233,6.73646786920814
AE,UAE,2012,84.9999915049492,43958.5681120856,4.6832657020049
AE,UAE,2013,88.0,44312.6337162614,4.91847806719888
AE,UAE,2014,90.4000107121939,44257.6514761082,4.63288144983127
AE,UAE,2015,90.5,44910.334995523,7.08767348587587
AE,UAE,2016,90.6000073180483,45168.4982473243,5.65793329224303
AE,UAE,2017,94.8199225383446,43293.0203824801,-1.06137661464977
AE,UAE,2018,98.4500017817194,43377.7858697225,1.53716683173516
AE,UAE,2019,99.1499979561243,43468.4586811918,1.27134240761141
AE,UAE,2020,100.0,39878.474427695,-8.69342617885171
AE,UAE,2021,100.0,40935.8936567784,4.55278571242283
AE,UAE,2022,100.0,41828.5553298104,7.51448425801082
